Magnitude Prediction,Actual Magnitude,Total Injuries Prediction,Actual Injuries,Total Damage Prediction (Million Dollars),Actual Damage(Million Dollars),Predicted Total Deaths,Actual Total Deaths,House Destroyed Prediction ,Actual House Destroyed
7,7,0,7,0,7,0,7,0,7
5,3,1,3,0,3,0,3,0,3
7,6,1,6,0,6,0,6,0,6
6,6,0,6,0,6,0,6,0,6
6,7,4,7,100,7,200,7,0,7
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
6,6,1,6,0,6,1,6,0,6
6,5,0,5,0,5,0,5,0,5
0,0,0,0,0,0,0,0,0,0
5,5,0,5,0,5,0,5,0,5
7,6,1,6,0,6,1,6,0,6
6,7,0,7,0,7,290,7,0,7
7,7,0,7,0,7,0,7,0,7
0,0,0,0,0,0,0,0,0,0
0,4,0,4,0,4,0,4,0,4
6,6,0,6,0,6,0,6,0,6
5,7,4,7,0,7,7,7,0,7
0,0,0,0,0,0,0,0,0,0
6,7,0,7,0,7,0,7,0,7
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
7,8,0,8,0,8,0,8,0,8
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
7,4,0,4,0,4,0,4,0,4
7,8,4,8,0,8,18,8,0,8
0,6,0,6,0,6,0,6,0,6
0,7,0,7,0,7,0,7,0,7
5,7,1,7,0,7,0,7,187,7
0,7,0,7,0,7,0,7,0,7
7,7,0,7,0,7,0,7,0,7
7,8,0,8,25,8,42578,8,0,8
7,7,0,7,0,7,0,7,0,7
6,5,0,5,0,5,0,5,0,5
7,6,0,6,0,6,0,6,0,6
7,7,0,7,0,7,0,7,0,7
5,5,1,5,0,5,0,5,0,5
0,0,0,0,0,0,0,0,0,0
6,5,0,5,0,5,0,5,0,5
6,7,0,7,0,7,0,7,0,7
7,7,0,7,0,7,0,7,0,7
4,5,0,5,0,5,0,5,0,5
4,4,0,4,0,4,0,4,0,4
6,7,0,7,0,7,0,7,0,7
7,7,0,7,0,7,0,7,0,7
0,6,0,6,0,6,0,6,0,6
4,6,0,6,0,6,0,6,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
5,5,1,5,0,5,0,5,0,5
6,6,0,6,0,6,0,6,10000,6
5,4,0,4,0,4,0,4,0,4
