YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_NAME,STATE,LATITUDE,LONGITUDE,DEATHS,INJURIES,Depth
1935,1.0,4.0,14.0,41.0,0.0,6.2,10.0,TURKEY,TURKEY,no info,40.5,27.5,5.0,0.0,7.0
1935,2.0,25.0,2.0,51.0,0.0,6.7,8.0,GREECE,GREECE:  NEAPOLIS-ANOGNIA (CRETE),no info,35.8,25.0,0.0,0.0,0.0
1935,3.0,5.0,10.0,27.0,0.0,6.0,0.0,IRAN,IRAN:  ALBORZ,no info,36.3,53.3,60.0,0.0,0.0
1935,4.0,11.0,23.0,15.0,0.0,6.3,9.0,IRAN,"IRAN:  KEVSUT, ALBORZ, SARI",no info,36.3,53.5,690.0,0.0,14.0
1935,4.0,20.0,22.0,1.0,54.0,6.0,8.0,TAIWAN,TAIWAN:  MIALOI,no info,24.3,120.8,3276.0,12053.0,0.0
1935,4.0,28.0,0.0,0.0,0.0,6.0,8.0,CHINA,CHINA:  SICHUAN PROVINCE,no info,29.4,102.3,2.0,0.0,0.0
1935,5.0,1.0,10.0,24.0,0.0,6.1,0.0,TURKEY,TURKEY:  KIGI,no info,39.3,40.6,540.0,0.0,0.0
1935,5.0,4.0,23.0,2.0,24.0,6.0,0.0,TAIWAN,TAIWAN:  XINZHU,no info,24.8,120.8,0.0,37.0,0.0
1935,5.0,30.0,21.0,32.0,46.0,7.5,10.0,PAKISTAN,PAKISTAN:  QUETTA,no info,29.5,66.8,60000.0,0.0,33.0
1935,6.0,7.0,2.0,50.0,58.0,5.8,0.0,TAIWAN,TAIWAN:  TAIZHONG,no info,24.2,120.5,0.0,5.0,0.0
1935,7.0,11.0,18.0,35.0,0.0,6.3,0.0,JAPAN,JAPAN:  HONSHU,no info,35.0,138.0,9.0,0.0,10.0
1935,7.0,16.0,16.0,18.0,58.0,6.5,0.0,TAIWAN,TAIWAN:  XIINZHU,no info,24.6,120.8,2746.0,6004.0,30.0
1935,7.0,19.0,0.0,50.0,0.0,0.0,0.0,JAPAN,JAPAN,no info,36.6,141.4,0.0,0.0,0.0
1935,8.0,7.0,9.0,2.0,0.0,0.0,7.0,COLOMBIA,COLOMBIA:  FUNES,no info,1.0,-77.5,8.0,0.0,95.0
1935,8.0,10.0,5.0,10.0,0.0,0.0,12.0,ITALY,ITALY:  CENTRAL,no info,42.9,12.7,0.0,0.0,0.0
1935,9.0,11.0,14.0,4.0,0.0,7.6,0.0,RUSSIA,RUSSIA:  KURIL ISLANDS,no info,43.0,146.5,0.0,0.0,55.0
