YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,Depth
-2150,0,0,0,0,0,7.3,0,0,0,JORDAN,"JORDAN:  BAB-A-DARAA,AL-KARAK",31.1,35.5,140,0,0,0,0,0
-2000,0,0,0,0,0,0,0,0,0,SYRIA,SYRIA:  UGARIT,35.683,35.8,130,0,3,0,0,0
-2000,0,0,0,0,0,7.1,0,7.1,0,TURKMENISTAN,TURKMENISTAN:  W,38,58.2,40,1,1,0,0,18
-1610,0,0,0,0,0,0,0,0,0,GREECE,GREECE:  THERA ISLAND (SANTORINI),36.4,25.4,130,0,0,0,0,0
-1566,0,0,0,0,0,0,0,0,0,ISRAEL,ISRAEL:  ARIHA (JERICHO),31.5,35.3,140,0,0,0,0,0
-1450,0,0,0,0,0,0,0,0,0,ITALY,ITALY:  LACUS CIMINI,35.5,25.5,130,0,0,0,0,0
-1365,0,0,0,0,0,0,0,0,0,SYRIA,SYRIAN COASTS,35.683,35.8,140,0,0,0,0,0
-1250,0,0,0,0,0,6.5,0,0,0,ISRAEL,ISRAEL:  ARIHA (JERICHO),32,35.5,140,0,0,0,0,0
-1050,0,0,0,0,0,6.2,0,0,0,JORDAN,JORDAN:  SW:  TIMNA COPPER MINES,29.6,35,140,0,0,0,0,0
-759,0,0,0,0,0,0,0,0,0,ISRAEL,ISRAEL:  JERUSALEM,33,35.5,140,0,0,0,0,0
-590,0,0,0,0,0,0,0,0,0,LEBANON,LEBANON:  SUR (TYRE),33.27,35.22,140,0,0,0,0,0
-550,0,0,0,0,0,0,0,0,0,GREECE,GREECE:  MOUNT TAYGETUS,37,22.5,130,0,0,0,0,0
-525,0,0,0,0,0,0,0,0,0,LEBANON,"LEBANON:  SUR (TYRE), SAYDA (SAIDA)",33.56,35.37,140,0,0,0,0,0
-480,9,29,0,0,0,0,0,0,0,GREECE,GREECE:  SARONIC GULF,37.9,23.5,130,0,0,0,0,0
-479,0,0,0,0,0,7,0,7,0,GREECE,GREECE:  MACEDONIA,39.7,23.3,130,0,0,0,0,0
-432,0,0,0,0,0,0,0,0,0,GREECE,GREECE:  ROMAN TERRITORIES,37,22.5,130,0,0,0,0,0
-426,6,0,0,0,0,7.1,0,7.1,0,GREECE,GREECE:  EUBOEA,38.9,22.7,130,2500,4,0,0,0
-400,0,0,0,0,0,7.6,0,7.6,0,IRAN,"IRAN:  REY,EIVAN-E-KAY",35.5,51.8,140,0,0,0,0,0
-373,0,0,0,0,0,7.3,0,7.3,0,GREECE,GREECE,38.25,22.25,130,0,3,0,0,0
-364,0,0,0,0,0,0,0,0,0,ITALY,ITALY:  ROME,35,25,130,0,0,0,0,100
-330,0,0,0,0,0,7,0,7,0,GREECE,GREECE:  AEGEAN SEA,40,25,130,0,0,0,0,0
-326,11,0,0,0,0,0,0,0,0,INDIA,INDIA:  KUTCH,23,71,60,0,0,0,0,0
-282,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  LYSIMACHIA,41,27,140,0,0,0,0,0
-282,0,0,0,0,0,0,0,0,0,GREECE,GREECE:  DELPHI,38.5,22.5,130,0,0,0,0,0
-250,0,0,0,0,0,6.7,0,6.7,0,KYRGYZSTAN,KYRGYZSTAN:  CHIGUCHIN,42.7,77.5,40,0,0,0,0,20
-227,0,0,0,0,0,7.2,0,7.2,0,GREECE,GREECE:  DODECANESE ISLANDS,36.3,28.3,130,0,0,0,0,100
-223,10,0,0,0,0,0,0,0,0,GREECE,GREECE,0,0,130,0,0,0,0,0
-221,0,0,0,0,0,0,0,0,0,EGYPT,EGYPT:  SIWA OASIS; LIBYA,29.2,25.5,15,0,0,0,0,0
-218,0,0,0,0,0,0,0,0,0,SPAIN,SPAIN:  CADIZ,36.2,-7.17,130,0,0,0,0,0
-217,0,0,0,0,0,0,0,0,0,ITALY,"ITALY:  LIGURIA (LIGURIE), GAULE",44.3,8.5,130,0,0,0,0,0
-210,0,0,0,0,0,0,0,0,0,PORTUGAL,PORTUGAL:  CABO SAN VICENTE,36,-10.5,130,0,0,0,0,0
-198,0,0,0,0,0,0,0,0,0,GREECE,EAST MEDITERRANEAN SEA,36.404,25.396,130,0,0,0,0,0
-193,2,0,0,0,0,6.5,0,6.5,0,CHINA,CHINA:  GANSU PROVINCE:  LINTAO,35.4,103.9,30,0,0,0,0,0
-186,2,22,0,0,0,7,0,7,0,CHINA,CHINA:  GANSU PROVINCE,33.8,105.6,30,760,3,0,0,0
-177,0,0,0,0,0,0,0,0,0,ITALY,ITALY:  SABINES,0,0,130,0,0,0,0,100
-70,6,1,0,0,0,7,0,7,0,CHINA,CHINA:  SHANDONG PROVINCE,36.3,119,30,6000,4,0,0,0
-63,10,0,0,0,0,6.4,0,6.4,0,RUSSIA,RUSSIA:  PANTIKAPEY,45.2,36.6,40,0,0,0,0,20
-60,0,0,0,0,0,6.7,0,6.7,0,PORTUGAL,PORTUGAL:  CABO SAN VICENTE,36,-10,130,0,0,0,0,0
-58,0,0,0,0,0,6.6,0,6.6,0,ALBANIA,ALBANIA:  DYRRACHIUM,41.3,19.5,130,0,0,0,0,0
-50,0,0,0,0,0,5.5,0,5.5,0,GEORGIA,GEORGIA:  DYOSCURIA [SUKHUMI],43,41,40,0,0,0,0,0
-50,0,0,0,0,0,0,0,0,0,BULGARIA,"BULGARIA:  BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]",43.5,28.5,110,0,0,0,0,0
-47,4,17,0,0,0,0,0,0,0,CHINA,CHINA:  GANSU PROVINCE:  LONGXI,34.9,104.7,30,0,3,0,0,0
-33,0,0,0,0,0,0,0,0,0,ISRAEL,ISRAEL:  PALESTINE,31.2,34.2,140,30000,4,0,0,0
-31,9,2,0,0,0,7,0,0,0,ISRAEL,"ISRAEL:  QUMRAN,ARIHA (JERICHO)",32,35.5,140,0,0,0,0,0
-27,0,0,0,0,0,0,0,0,0,EGYPT,EGYPT:  THEBES,25.7,32.7,15,0,0,0,0,0
-26,0,0,0,0,0,0,0,0,0,CYPRUS,CYPRUS,35,33,130,0,0,0,0,0
-26,0,0,0,0,0,5.5,0,5.5,0,CHINA,CHINA:  SICHUAN:  YIBIN,28.8,104.6,30,13,1,0,0,0
-15,0,0,0,0,0,0,0,0,0,CYPRUS,CYPRUS:  SALAMIS,35.2,34,130,0,0,0,0,0
10,0,0,0,0,0,7.1,0,0,0,TURKMENISTAN,TURKMENISTAN:  NISA,38,58.3,40,0,0,0,0,18
11,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY,37.8,27.4,140,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,TURKEY,"TURKEY:  IZMIR, EFES, AYDIN, MANISA, ALASEHIR, SART",37.85,27.3,140,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,GREECE,GREECE,38.2,22.2,130,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,PAKISTAN,PAKISTAN,33,72,60,0,0,0,0,0
27,0,0,0,0,0,6.3,0,0,0,SOUTH KOREA,SOUTH KOREA:  KWANGJU,35.9,126.5,30,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,TURKEY,"TURKEY:  IZNIK,IZMIT",40.5,28.9,140,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,ISRAEL,ISRAEL:  PALESTINE,31.8,35.2,140,0,0,0,0,0
37,4,9,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,140,0,3,0,0,0
46,10,23,0,0,0,6.5,0,6.5,0,CHINA,CHINA:  HENAN PROVINCE:  NANYANG,33,112.5,30,0,2,0,0,0
50,0,0,0,0,0,0,0,0,0,AFGHANISTAN,AFGHANISTAN:  AIKHANUM,37,68.5,40,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,140,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,GREECE,"GREECE:  PHILIPPI,DRAMA,KAVALA",41,24.3,130,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,GREECE,GREECE:  CRETE,35,25,130,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,ALBANIA,ALBANIA:  DURRES,41.2,19.3,130,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,TURKEY,"TURKEY:  LAODICEA, HIERAPOLIS, COLOSSAE, [PAMUKKALE]",37.9,29.2,140,0,0,0,0,0
62,0,0,0,0,0,6.9,0,6.9,0,GREECE,GREECE:  CRETE,35.2,25.1,130,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,ITALY,ITALY:  POMPEI,40.7,14.5,130,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,CYPRUS,"CYPRUS:  PAPHOS, SALAMIS",34.8,32,130,0,0,0,0,0
79,8,24,0,0,0,0,0,0,0,ITALY,ITALY:  NAPLES (NAPOLI),40.821,14.426,130,0,0,0,0,0
89,0,0,0,0,0,6.3,0,0,0,SOUTH KOREA,SOUTH KOREA:  KWANGJU,35.9,126.5,30,0,3,0,0,0
93,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  HELLESPONT,40.6,26.7,140,0,3,0,0,0
100,0,0,0,0,0,6.3,0,6.3,0,SOUTH KOREA,SOUTH KOREA:  KYONGJU,35.8,129.2,30,0,3,0,0,0
105,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY,39.5,27,140,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  GALATIA,40,34,140,0,0,0,0,0
115,12,13,0,0,0,7.5,0,7.5,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,140,260000,4,0,0,0
120,0,0,0,0,0,7.2,0,7.2,0,TURKEY,"TURKEY: NICOMEDIA, NICAEA",40.77,29.92,140,0,3,0,0,0
123,0,0,0,0,0,6.3,0,6.3,0,SOUTH KOREA,SOUTH KOREA:  KYONGJU,35.8,129.2,30,0,0,0,0,0
128,2,23,0,0,0,6.5,0,6.5,0,CHINA,CHINA:  GANSU PROVINCE:  GANGU,34.7,105.4,30,0,2,0,0,0
138,3,1,0,0,0,6.8,0,6.8,0,CHINA,CHINA:  GANSU PROVINCE,35.8,103.5,30,0,3,0,0,0
142,0,0,0,0,0,7,7,0,0,GREECE,GREECE:  RHODES,36.7,28,130,0,0,0,0,0
143,10,0,0,0,0,7,0,7,0,CHINA,CHINA:  GANSU PROVINCE,34.7,105.3,30,0,1,0,0,0
155,0,0,0,0,0,0,0,0,0,GREECE,GREECE:  DODECANESE ISLANDS,36.5,28.5,130,0,0,0,0,100
170,0,0,0,0,0,0,0,0,0,GREECE,"GREECE-TURKEY:  VITINIA,HELLESPONT",39,24.5,130,0,0,0,0,0
173,6,28,0,0,0,0,0,0,0,CHINA,CHINA:  YELLOW SEA,37.5,120,30,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,ITALY,ITALY:  SICILY,38,15,130,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,TURKEY,"TURKEY: IZMIR, AEGEAN ISLANDS",38.6,26.65,140,0,3,0,0,0
180,9,0,0,0,0,7.5,0,7.5,0,CHINA,CHINA:  GANSU PROVINCE,39.4,99.5,30,0,0,0,0,0
243,0,0,0,0,0,5.3,0,0,0,ITALY,"ITALY:  VERONA,BENACO",45.3,11,130,0,0,0,0,0
251,7,9,0,0,0,0,0,0,0,GREECE,GREECE:  CRETE,35.5,25.5,130,0,0,0,0,0
253,7,9,0,0,0,0,0,0,0,TURKEY,TURKEY,39.1,27.2,140,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0,ITALY,ITALY:  ROME,41.9,12.45,130,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  S COASTS; LIBYA,36.6,30,140,0,3,0,0,0
294,7,0,0,0,0,5.5,0,5.5,0,CHINA,CHINA:  ANHUI PROVINCE:  SHOUXIAN,32.6,116.8,30,0,1,0,0,0
294,9,0,0,0,0,5.5,0,5.5,0,CHINA,CHINA:  BEIJING,40.3,116,30,101,3,0,0,0
304,0,0,0,0,0,6.3,0,0,0,SOUTH KOREA,SOUTH KOREA:  KYONGJU,35.5,129.1,30,0,3,0,0,0
306,0,0,0,0,0,0,0,0,0,LEBANON,"LEBANON:  SUR (TYRE), SAYDA (SAIDA)",33.2,35.1,140,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,ISRAEL,ISRAEL:  AEROPOLIS,31.7,35.5,140,0,0,0,0,0
319,6,17,0,0,0,4.5,0,4.5,0,CHINA,CHINA:  GANSU PROVINCE:  XIHE,34.1,105.3,30,0,2,0,0,0
324,8,6,0,0,0,0,0,0,0,ITALY,ITALY:  CAMPANIA,40.5,14.5,130,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,ALBANIA,ALBANIA:  DURRES,41.2,19.3,130,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,140,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,140,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,ALBANIA,ALBANIA:  DURRES,41.3,19.5,130,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,140,40000,4,0,0,0
344,4,11,0,0,0,0,0,0,0,ITALY,ITALY:  CAMPANIA,40.5,14.5,130,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  DARDANELLES,40.3,26.5,140,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,CHINA,CHINA:  HENAN PROVINCE,35.4,114.3,30,101,3,0,0,0
346,0,0,0,0,0,6.8,0,6.8,0,ALBANIA,ALBANIA:  DURRES (DYRRACHIUM),41.4,19.4,130,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,LEBANON,LEBANON:  BAYRUT (BEROUTH),33.9,35.5,140,0,0,0,0,0
350,10,0,0,0,0,0,0,0,0,TURKEY,TURKEY,41,30,140,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,TURKEY,"TURKEY:  IZMIT,NICOMEDIA",40.7,29.7,140,0,0,0,0,0
358,8,24,0,0,0,0,0,0,0,TURKEY,"TURKEY:  IZNIK, IZMIT [NICOMEDIA]",40.77,29.9,140,0,3,0,0,0
361,0,0,0,0,0,0,0,0,0,MACEDONIA,BALKANS NW:  MACEDONIA:  STOBI,41.6,21.5,130,0,0,0,0,0
362,5,24,0,0,0,6.4,0,6.4,0,JORDAN,JORDAN:  AL-KARAK,31.3,35.6,140,0,0,0,0,0
362,12,2,0,0,0,0,0,0,0,TURKEY,TURKEY,41,29.5,140,0,0,0,0,0
365,7,21,0,0,0,8,0,8,0,GREECE,GREECE:  CRETE:  KNOSSOS,35,23,130,0,3,0,0,0
367,10,11,0,0,0,0,0,0,0,TURKEY,"TURKEY:  IZNIK,NICAEA",40.7,29.7,140,1000,3,0,0,0
368,10,11,0,0,0,0,0,0,0,TURKEY,TURKEY:  NICAEA [IZNIK],40,29,140,0,0,0,0,0
368,0,0,0,0,0,6.4,0,6.4,0,TURKEY,TURKEY:  MARMARA SEA,40.5,29.6,140,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,ITALY,ITALY:  BENEVENTO,41.1,14.8,130,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,PORTUGAL,PORTUGAL:  CABO SAN VICENTE:  SW,36,-10.83,130,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,140,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,140,0,0,0,0,0
407,4,1,0,0,0,6.6,0,6.6,0,TURKEY,TURKEY:  MARMARA SEA,41,29,140,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,TUNISIA,TUNISIA:  UTIQUE,37.067,10.067,15,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,ISRAEL,ISRAEL:  PALESTINE,31.2,34.2,140,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,ISRAEL,"ISRAEL:  JERUSALEM, PALESTINE, RAMLEH; EGYPT",31.9,34.9,140,0,0,0,0,0
427,0,0,0,0,0,6.7,0,0,0,AZERBAIJAN,AZERBAIJAN,40.5,46.5,40,0,0,0,0,12
438,0,0,0,0,0,0,0,0,0,GREECE,GREECE:  CRETE,35.5,25.5,130,0,0,0,0,0
440,10,26,0,0,0,0,0,0,0,TURKEY,TURKEY:  ISTANBUL (CONSTANTINOPLE),41,29,140,0,0,0,0,0
447,1,26,0,0,0,7.3,0,7.3,0,TURKEY,TURKEY:  ISTANBUL (CONSTANTINOPLE),40.9,28.5,140,0,3,0,0,0
448,9,6,0,0,0,0,0,0,0,GREECE,GREECE:  CRETE,35,25,130,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,TURKEY,INSTANBUL (CONSTANTINOPLE),40.4,28.4,140,0,0,0,0,0
457,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,140,0,0,0,0,0
458,9,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,140,80000,4,0,0,0
460,7,22,0,0,0,0,0,0,0,THAILAND,THAILAND:  YONOK-NAGABANDHU,20.3,100,60,0,3,0,0,0
470,0,0,0,0,0,0,0,0,0,FRANCE,"FRANCE:  VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ",44.4,4.3,120,0,0,0,0,0
477,9,25,0,0,0,0,0,0,0,TURKEY,TURKEY:  ISTANBUL (CONSTANTINOPLE),41,29,140,0,3,0,0,0
478,9,25,0,0,0,7.2,0,7.2,0,TURKEY,TURKEY:  MARMARA SEA,40.8,29.2,140,0,0,0,0,0
494,0,0,0,0,0,0,0,0,0,LEBANON,LEBANON:  TARABULUS (TRIPOLIS); SYRIA,34.3,35.5,140,0,0,0,0,0
499,8,4,0,0,0,0,0,0,0,CHINA,CHINA:  JIANGSU PROVINCE,32.1,118.8,30,0,0,0,0,0
500,0,0,0,0,0,6.7,0,0,0,KAZAKHSTAN,KAZAKHSTAN,42.7,76.5,40,0,0,0,0,20
501,0,0,0,0,0,6.3,0,0,0,NORTH KOREA,NORTH KOREA:  PYONGYANG,39,125.3,30,0,3,0,0,0
510,0,0,0,0,0,6.3,0,0,0,SOUTH KOREA,SOUTH KOREA:  KYONGJU,35.5,129.1,30,0,3,0,0,0
